Time;Cube Type;Cube Pos;;;Cube Rot;;;Controller Pos;;;Controller Rot;;;Controller Velocity;;;Controller Acceleration;;;Controller Angular Velocity;;;Controller Angular Acceleration;;
147,0258;1;-0,002135277;0;-45,57298;0;1,366038E-05;180;0,4487388;1,739506;-0,01702913;349,083;96,60999;64,1506;-0,1594051;3,39308;-0,4361454;-21,39022;-0,61383;-0,6045343;-3,877656;11,14131;-2,274831;-59,90461;63,84689;-63,61048
149,5024;1;-0,002123833;0;-45,36079;4,829673E-06;4,829673E-06;90;0,5059413;1,251652;-0,03920147;27,25173;84,5876;339,8815;0,7975065;-0,9389104;-1,542384;-8,209489;-6,704316;-12,3016;0,15402;9,094983;-1,894318;51,1833;98,48765;5,897401
151,0663;1;0;0;-45,49985;0;0;135;-0,07119396;1,53373;0,2732354;13,40145;10,27192;36,13822;0,5153012;0,8146617;0,3076437;10,64357;13,81348;-3,449969;-1,96087;5,06315;-2,165543;-35,57905;90,00249;-18,55234
152,1143;1;0;0;-45,47919;0;0;225;0,008786295;1,232505;0,339899;40,48526;14,24531;14,82918;-1,529101;0,8735326;1,199458;-14,12872;21,28738;0,5438571;-4,502307;-3,477284;0,2830122;-99,83899;-42,09177;-15,82277
152,1788;1;0;0;-45,60789;0;0;225;-0,1623722;1,414903;0,3668483;9,721021;336,9713;13,01978;-2,052797;2,141126;0,4274856;3,924428;14,61555;-21,98643;-8,021034;-5,583819;2,565543;-42,20771;-14,09573;64,9363
152,6526;1;0;0;-45,46211;0;0;180;0,02204749;1,791151;0,2739387;357,1575;5,64061;75,25962;0,6278779;1,694423;0,169552;-3,503004;7,511303;-8,079221;0,3571478;8,630027;-0,8005194;-28,6143;94,26868;14,46104
153,3536;1;0;0;-45,4991;0;0;270;0,03368679;1,80054;0,3109197;353,5994;20,69749;41,53162;-1,975089;0,410164;0,4447495;-14,49497;5,004868;-9,959934;-4,466253;-2,640746;1,077454;-59,7145;-2,363008;-20,3566
153,4171;1;0;0;-45,62283;0;0;270;-0,1744325;1,836311;0,2703797;338,1995;348,9109;60,22046;-2,579556;0,431421;-0,405448;-1,400631;-5,278996;-14,53072;-7,401902;-2,075173;1,895888;-34,18623;12,34618;9,880468
153,9641;1;0;0;-45,48433;0;0;135;-0,02098014;1,531662;0,3311636;13,41458;5,522041;43,90202;1,762918;0,5765943;0,6836487;4,386643;6,789482;-8,812849;1,263539;7,763625;-4,459511;-21,40921;54,87685;-18,51171
155,0268;1;0;0;-45,52271;0;0;0;0,02373276;1,901687;0,3679222;341,1084;15,82385;48,69022;-0,6438097;-0,9024166;1,098831;-2,611825;-25,89078;5,669208;2,620051;-4,74429;1,130569;87,75041;-130,0668;6,152177
156,7519;1;0;0;-45,62191;0;0;90;-0,1412532;1,538375;0,2742604;7,343594;1,665743;11,27294;1,640394;0,1790578;0,3915735;20,39767;-2,488629;-6,344654;-0,9266872;7,565619;-1,195723;-23,02987;129,904;-16,04848
157,427;1;0;0;-45,68143;0;0;90;0,1922573;1,255192;0,2244001;33,45996;13,99487;3,006164;1,579904;-0,2528921;0,2404933;10,71065;0,8884684;-8,326779;-1,135146;7,275882;-4,521732;-1,163714;81,31986;-51,8628
158,2985;1;0;0;-45,5741;0;0;315;0,272221;1,560331;0,3003459;351,586;31,03133;24,49661;-1,180622;-0,7687595;0,4018745;-7,868559;-10,3874;-1,505735;0,4700019;-3,177257;0,6542293;19,2518;-25,34117;-2,20914
158,3709;1;0;0;-45,72675;0;0;315;0,1216911;1,420463;0,301763;23,495;1,279427;27,9354;-1,863405;-1,709427;0,0447056;-9,247766;-16,36428;-12,76845;3,031672;-9,6449;0,6887897;57,53853;-149,1783;-9,6831
159,4612;1;0;0;-45,48079;0;0;135;0,262895;1,482315;0,3476543;11,06368;23,42776;36,72394;1,277983;1,69155;0,5316243;0,1005789;2,319629;-10,52903;-2,165277;7,689302;-2,619697;-5,465284;50,03955;-61,79883
159,9385;1;0;0;-45,5762;0;0;315;0,1509574;1,337283;0,3138917;30,94096;9,929094;21,47954;-1,203097;-1,722084;-0,1943599;-6,186476;-5,222956;-6,429595;4,096344;-6,245324;1,255561;43,75626;-49,65813;40,05779
160,552;1;0;0;-45,42068;0;0;225;0,1155056;1,249852;0,4084257;11,20798;0,2410123;2,950272;-1,178979;0,8869663;0,6360787;-7,133789;3,027101;-13,58223;-7,441958;-5,514338;-0,2227059;-29,30558;-99,25872;-24,48647
161,0515;1;0;0;-45,36932;0;0;180;0,3294671;1,530149;0,4572383;353,8206;27,74932;50,53038;0,6518373;1,889873;0,2500605;-7,246303;4,950479;-10,7959;-4,344712;8,758219;-2,803483;-79,76948;44,35284;-36,35709
162,2765;1;0;0;-45,1972;0;0;45,00002;-0,3242212;1,792054;0,4732364;335,0782;344,1924;70,99634;0,4188787;-0,7741006;0,5684536;17,60452;-13,43124;2,605722;2,776002;-0,9602311;1,597661;65,05742;-15,7674;-31,42825
162,3511;1;0;0;-45,34547;0;0;45,00002;-0,1876565;1,637937;0,5086051;8,119435;15,8322;59,5178;1,68304;-1,984153;0,3597069;12,72683;-17,83953;-11,12712;9,743941;-3,666463;-1,299292;120,9121;-42,21974;-9,109039
162,8279;1;0;0;-45,32198;0;0;180;-0,6131966;1,47372;0,4792958;12,64543;340,8;52,34914;-1,531908;1,020525;0,1576698;2,068979;13,77001;-4,834331;-3,818719;1,44225;-0,7678177;-17,31374;41,70608;-41,4724
163,34;1;0;0;-45,20481;0;0;90;-0,4625647;1,365893;0,48513;20,82745;346,2414;30,17145;1,668732;-0,8590906;0,6105847;17,7609;5,974448;2,913187;2,674213;6,887803;-2,957825;77,69218;124,2272;-106,8689
163,9158;1;0;0;-45,39181;0;0;315;-0,01245637;1,613473;0,4084908;2,995304;18,11716;26,45527;-0,7729543;-0,3987232;0,09078536;-19,30839;-8,630168;-3,278243;0,1325007;-4,14653;2,916163;-31,66374;-49,68126;37,47179
163,9902;1;0;0;-45,54226;0;0;315;-0,1716962;1,476252;0,3737443;28,25858;346,9672;31,7757;-1,908496;-1,786908;-0,409135;-5,544569;-21,07818;-13,7892;2,478781;-10,41858;1,425808;118,0992;-143,0708;-40,44499
165,0141;1;0;0;-45,40829;0;0;315;-0,07341584;1,557374;0,461231;2,701327;9,344877;33,11671;-1,645286;-0,9841779;0,4481948;-11,96469;-16,12589;-5,677463;0,6139699;-7,047357;1,264094;24,05214;-115,7181;-11,60441
165,0548;1;0;0;-45,49302;0;0;315;-0,1619548;1,477101;0,4474934;27,20557;348,7691;35,94915;-2,033351;-1,624471;-0,02746098;-5,731734;-13,05363;-20,11448;2,31227;-11,61493;1,96411;40,47683;-101,0059;30,36914
166,6767;1;0;0;-45,55378;0;0;270;0,3720179;1,532796;0,4520653;19,26317;16,91963;9,063873;-1,586156;-0,001938786;0,7932012;-16,73241;0,9296532;-4,730593;-2,25717;-8,201998;1,759989;-66,71592;-68,6647;152,4901
167,9013;1;0;0;-45,35593;0;0;135;-0,230032;1,72108;0,3917396;335,1857;1,844312;6,148077;1,270678;1,948516;0,06118689;16,06067;-1,846035;-15,66431;-6,712472;9,500291;0,6208728;-66,25631;123,4306;33,96987
