Time;Heart Rate
154,9648;0
154,978;0
154,9904;0
155,0016;0
155,0147;0
155,0268;0
155,0412;0
155,0523;0
155,0641;0
155,0767;0
155,0892;0
155,1025;0
155,1144;0
155,1273;0
155,1409;0
155,1538;0
155,164;0
155,1763;0
155,1889;0
155,2013;0
155,2144;0
155,2268;0
155,239;0
155,2524;0
155,2647;0
155,2769;0
155,2899;0
155,3021;0
155,3142;0
155,3266;0
155,3398;0
155,3521;0
155,3645;0
155,377;0
155,3898;0
155,4025;0
155,4147;0
155,4269;0
155,4395;0
155,4525;0
155,4661;0
155,4786;0
155,4891;0
155,5015;0
155,5145;0
155,529;0
155,5398;0
155,5514;0
155,5638;0
155,5769;0
155,5895;0
155,6037;0
155,617;0
155,6293;0
155,6396;0
155,6507;0
155,6635;0
155,6759;0
155,6891;0
155,7016;0
155,7135;0
155,7262;0
155,7393;0
155,7516;0
155,7644;0
155,7769;0
155,7891;0
155,8016;0
155,8145;0
155,8267;0
155,8392;0
155,8524;0
155,8645;0
155,8768;0
155,8893;0
155,9023;0
155,9153;0
155,9281;0
155,9406;0
155,9516;0
155,9641;0
155,9773;0
155,9894;0
156,0018;0
156,0151;0
156,0275;0
156,0397;0
156,0519;0
156,0647;0
156,0773;0
156,0901;0
156,1034;0
156,1148;0
156,1269;0
156,1396;0
156,1521;0
156,1666;0
156,1777;0
156,1892;0
156,2014;0
156,2163;0
156,2266;0
156,2391;0
156,2518;0
156,2648;0
156,2764;0
156,289;0
156,3022;0
156,3149;0
156,327;0
156,3391;0
156,3515;0
156,3642;0
156,3772;0
156,3897;0
156,4017;0
156,4148;0
156,427;0
156,4393;0
156,4518;0
156,4647;0
156,477;0
156,4903;0
156,5026;0
156,5144;0
156,5271;0
156,5404;0
156,5535;0
156,566;0
156,577;0
156,5892;0
156,6016;0
156,6146;0
156,6271;0
156,6392;0
156,6523;0
156,665;0
156,6768;0
156,6894;0
156,7027;0
156,7157;0
156,7277;0
156,7397;0
156,7519;0
156,7666;0
156,7782;0
156,7893;0
156,8018;0
156,8145;0
156,827;0
156,8396;0
156,8521;0
